entity_type,entity_id,entity_slug,full_slug
artist,1215,ayub-ogada-trevor-warren,ayub-ogada-trevor-warren
artist,1216,maovete-kitu-sewer,maovete-kitu-sewer
artist,1217,maovete-kitu-sewer-jayhilz,maovete-kitu-sewer-jayhilz
artist,1218,maovete-kitu-sewer-roba-kalamashaka,maovete-kitu-sewer-roba-kalamashaka
artist,1219,unspoken-salaton-joefes,unspoken-salaton-joefes
artist,122,dj-wizzy-254,dj-wizzy-254
artist,1220,joefes-unspoken-salaton-mzagatas-mzagla-pilato-macheda,joefes-unspoken-salaton-mzagatas-mzagla-pilato-macheda
artist,1221,joefes-theluchi-unspoken-salaton-iphoolish,joefes-theluchi-unspoken-salaton-iphoolish
artist,1222,fathermoh-joefes,fathermoh-joefes
artist,1223,joefes-fathermoh-vic-west,joefes-fathermoh-vic-west
artist,1224,sailors-254-joefes,sailors-254-joefes
artist,1225,josephyl-joefes,josephyl-joefes
artist,1226,odi-wa-muranga-joefes-josephyl,odi-wa-muranga-joefes-josephyl
artist,1227,kalamashaka-hardstone-one-ii-moja-na-nnoma-blak-imani,kalamashaka-hardstone-one-ii-moja-na-nnoma-blak-imani
artist,1228,pitson-karura-voices,pitson-karura-voices
artist,1229,june-gachui-khaligraph-jones,june-gachui-khaligraph-jones
artist,123,don-jazzy,don-jazzy
artist,1230,june-gachui-blinky-bill,june-gachui-blinky-bill
artist,1231,mackinlay-june-gachui-dan-sax,mackinlay-june-gachui-dan-sax
artist,1232,june-gachui-angie-gachui,june-gachui-angie-gachui
artist,1233,bensoul-wanavokali,bensoul-wanavokali
artist,1234,kethan-wanavokali,kethan-wanavokali
artist,1235,wanavokali-h_art-the-band,wanavokali-h_art-the-band
artist,1236,wanavokali-brandy-maina,wanavokali-brandy-maina
artist,1237,afamefuna-stacy-kamatu,afamefuna-stacy-kamatu
artist,1238,stacy-kamatu-aare,stacy-kamatu-aare
artist,1239,twan-stacy-kamatu,twan-stacy-kamatu
artist,124,don-toliver,don-toliver
artist,1240,we-are-nubia-zaituni-wambui,we-are-nubia-zaituni-wambui
artist,1241,willy-paul-alaine,willy-paul-alaine
artist,1242,willy-paul-bien-sautisol,willy-paul-bien-sautisol
artist,1243,willy-paul-jzyno,willy-paul-jzyno
artist,1244,willy-paul-miss-p,willy-paul-miss-p
artist,1245,willy-paul-marioo,willy-paul-marioo
artist,1246,willy-paul-nandy,willy-paul-nandy
artist,1247,benzema-kahuh-wakadinali-scar-mkadinali-rojay,benzema-kahuh-wakadinali-scar-mkadinali-rojay
artist,1248,karun-mombru-kahuh,karun-mombru-kahuh
artist,1249,kahuh-chris-kaiga,kahuh-chris-kaiga
artist,125,donna-tella,donna-tella
artist,1250,kahuh-boutross,kahuh-boutross
artist,1251,eladio-carrion-brytiago,eladio-carrion-brytiago
artist,1252,victor-mendivil-eladio-carrion,victor-mendivil-eladio-carrion
artist,1253,eladio-carrion-bad-bunny,eladio-carrion-bad-bunny
artist,1254,bizarrap-eladio-carrion,bizarrap-eladio-carrion
artist,1255,eladio-carrion,eladio-carrion
artist,1256,eladio-carrion-rels-b,eladio-carrion-rels-b
artist,1257,yannc-darkiel-eladio-carrion-brray-myke-towers,yannc-darkiel-eladio-carrion-brray-myke-towers
artist,1258,krg-the-don-daddy-andre-dufla-diligon,krg-the-don-daddy-andre-dufla-diligon
artist,1259,ambassada-pallaso-krg-the-don,ambassada-pallaso-krg-the-don
artist,126,dr-reign,dr-reign
artist,1260,mbogi-genje-krg-the-don-dj-lyta,mbogi-genje-krg-the-don-dj-lyta
artist,1261,mastar-vk-toxic-lyrikali,mastar-vk-toxic-lyrikali
artist,1262,mastar-vk-iano-ranking,mastar-vk-iano-ranking
